,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,Prediction
0,18.0,8,307.0,130.0,3504,12.0,70,1,chevrolet chevelle malibu,92.51755510542347
1,15.0,8,350.0,165.0,3693,11.5,70,1,buick skylark 320,107.86551988847043
2,18.0,8,318.0,150.0,3436,11.0,70,1,plymouth satellite,92.51755510542347
3,16.0,8,304.0,150.0,3433,12.0,70,1,amc rebel sst,102.16137851664071
4,17.0,8,302.0,140.0,3449,10.5,70,1,ford torino,97.0782204576965
5,15.0,8,429.0,198.0,4341,10.0,70,1,ford galaxie 500,107.86551988847043
6,14.0,8,454.0,220.0,4354,9.0,70,1,chevrolet impala,114.31601859034846
7,14.0,8,440.0,215.0,4312,8.5,70,1,plymouth fury iii,114.31601859034846
8,14.0,8,455.0,225.0,4425,10.0,70,1,pontiac catalina,114.31601859034846
9,15.0,8,390.0,190.0,3850,8.5,70,1,amc ambassador dpl,107.86551988847043
15,15.0,8,383.0,170.0,3563,10.0,70,1,dodge challenger se,107.86551988847043
16,14.0,8,340.0,160.0,3609,8.0,70,1,plymouth 'cuda 340,114.31601859034846
18,15.0,8,400.0,150.0,3761,9.5,70,1,chevrolet monte carlo,107.86551988847043
19,14.0,8,455.0,225.0,3086,10.0,70,1,buick estate wagon (sw),114.31601859034846
20,24.0,4,113.0,95.0,2372,15.0,70,3,toyota corona mark ii,72.6180944050014
21,22.0,6,198.0,95.0,2833,15.5,70,1,plymouth duster,78.13705426270423
22,18.0,6,199.0,97.0,2774,15.5,70,1,amc hornet,92.51755510542347
23,21.0,6,200.0,85.0,2587,16.0,70,1,ford maverick,81.25782512464458
24,27.0,4,97.0,88.0,2130,14.5,70,3,datsun pl510,65.7630960771659
25,26.0,4,97.0,46.0,1835,20.5,70,2,volkswagen 1131 deluxe sedan,67.88603970217332
26,25.0,4,110.0,87.0,2672,17.5,70,2,peugeot 504,70.16490462045655
27,24.0,4,107.0,90.0,2430,14.5,70,2,audi 100 ls,72.6180944050014
28,25.0,4,104.0,95.0,2375,17.5,70,2,saab 99e,70.16490462045655
29,26.0,4,121.0,113.0,2234,12.5,70,2,bmw 2002,67.88603970217332
30,21.0,6,199.0,90.0,2648,15.0,70,1,amc gremlin,81.25782512464458
31,10.0,8,360.0,215.0,4615,14.0,70,1,ford f250,151.74854554516247
32,10.0,8,307.0,200.0,4376,15.0,70,1,chevy c20,151.74854554516247
33,11.0,8,318.0,210.0,4382,13.5,70,1,dodge d200,140.04842525445542
34,9.0,8,304.0,193.0,4732,18.5,70,1,hi 1200d,165.82321951048215
35,27.0,4,97.0,88.0,2130,14.5,71,3,datsun pl510,65.7630960771659
36,28.0,4,140.0,90.0,2264,15.5,71,1,chevrolet vega 2300,63.78020267961698
37,25.0,4,113.0,95.0,2228,14.0,71,3,toyota corona,70.16490462045655
40,19.0,6,232.0,100.0,2634,13.0,71,1,amc gremlin,88.4008941149608
41,16.0,6,225.0,105.0,3439,15.5,71,1,plymouth satellite custom,102.16137851664071
42,17.0,6,250.0,100.0,3329,15.5,71,1,chevrolet chevelle malibu,97.0782204576965
43,19.0,6,250.0,88.0,3302,15.5,71,1,ford torino 500,88.4008941149608
44,18.0,6,232.0,100.0,3288,15.5,71,1,amc matador,92.51755510542347
45,14.0,8,350.0,165.0,4209,12.0,71,1,chevrolet impala,114.31601859034846
46,14.0,8,400.0,175.0,4464,11.5,71,1,pontiac catalina brougham,114.31601859034846
47,14.0,8,351.0,153.0,4154,13.5,71,1,ford galaxie 500,114.31601859034846
48,14.0,8,318.0,150.0,4096,13.0,71,1,plymouth fury iii,114.31601859034846
49,12.0,8,383.0,180.0,4955,11.5,71,1,dodge monaco (sw),130.15655456126038
50,13.0,8,400.0,170.0,4746,12.0,71,1,ford country squire (sw),121.67508804575947
51,13.0,8,400.0,175.0,5140,12.0,71,1,pontiac safari (sw),121.67508804575947
52,18.0,6,258.0,110.0,2962,13.5,71,1,amc hornet sportabout (sw),92.51755510542347
53,22.0,4,140.0,72.0,2408,19.0,71,1,chevrolet vega (sw),78.13705426270423
54,19.0,6,250.0,100.0,3282,15.0,71,1,pontiac firebird,88.4008941149608
55,18.0,6,250.0,88.0,3139,14.5,71,1,ford mustang,92.51755510542347
56,23.0,4,122.0,86.0,2220,14.0,71,1,mercury capri 2000,75.26707650997284
57,28.0,4,116.0,90.0,2123,14.0,71,2,opel 1900,63.78020267961698
58,30.0,4,79.0,70.0,2074,19.5,71,2,peugeot 304,60.18128347596023
59,30.0,4,88.0,76.0,2065,14.5,71,2,fiat 124b,60.18128347596023
60,31.0,4,71.0,65.0,1773,19.0,71,3,toyota corolla 1200,58.54275749725402
61,35.0,4,72.0,69.0,1613,18.0,71,3,datsun 1200,52.856997819428756
62,27.0,4,97.0,60.0,1834,19.0,71,2,volkswagen model 111,65.7630960771659
63,26.0,4,91.0,70.0,1955,20.5,71,1,plymouth cricket,67.88603970217332
64,24.0,4,113.0,95.0,2278,15.5,72,3,toyota corona hardtop,72.6180944050014
65,25.0,4,97.5,80.0,2126,17.0,72,1,dodge colt hardtop,70.16490462045655
66,23.0,4,97.0,54.0,2254,23.5,72,2,volkswagen type 3,75.26707650997284
67,20.0,4,140.0,90.0,2408,19.5,72,1,chevrolet vega,84.66488870549858
68,21.0,4,122.0,86.0,2226,16.5,72,1,ford pinto runabout,81.25782512464458
69,13.0,8,350.0,165.0,4274,12.0,72,1,chevrolet impala,121.67508804575947
70,14.0,8,400.0,175.0,4385,12.0,72,1,pontiac catalina,114.31601859034846
71,15.0,8,318.0,150.0,4135,13.5,72,1,plymouth fury iii,107.86551988847043
72,14.0,8,351.0,153.0,4129,13.0,72,1,ford galaxie 500,114.31601859034846
73,17.0,8,304.0,150.0,3672,11.5,72,1,amc ambassador sst,97.0782204576965
74,11.0,8,429.0,208.0,4633,11.0,72,1,mercury marquis,140.04842525445542
75,13.0,8,350.0,155.0,4502,13.5,72,1,buick lesabre custom,121.67508804575947
76,12.0,8,350.0,160.0,4456,13.5,72,1,oldsmobile delta 88 royale,130.15655456126038
77,13.0,8,400.0,190.0,4422,12.5,72,1,chrysler newport royal,121.67508804575947
78,19.0,3,70.0,97.0,2330,13.5,72,3,mazda rx2 coupe,88.4008941149608
79,15.0,8,304.0,150.0,3892,12.5,72,1,amc matador (sw),107.86551988847043
80,13.0,8,307.0,130.0,4098,14.0,72,1,chevrolet chevelle concours (sw),121.67508804575947
81,13.0,8,302.0,140.0,4294,16.0,72,1,ford gran torino (sw),121.67508804575947
82,14.0,8,318.0,150.0,4077,14.0,72,1,plymouth satellite custom (sw),114.31601859034846
83,18.0,4,121.0,112.0,2933,14.5,72,2,volvo 145e (sw),92.51755510542347
84,22.0,4,121.0,76.0,2511,18.0,72,2,volkswagen 411 (sw),78.13705426270423
85,21.0,4,120.0,87.0,2979,19.5,72,2,peugeot 504 (sw),81.25782512464458
86,26.0,4,96.0,69.0,2189,18.0,72,2,renault 12 (sw),67.88603970217332
87,22.0,4,122.0,86.0,2395,16.0,72,1,ford pinto (sw),78.13705426270423
88,28.0,4,97.0,92.0,2288,17.0,72,3,datsun 510 (sw),63.78020267961698
89,23.0,4,120.0,97.0,2506,14.5,72,3,toyouta corona mark ii (sw),75.26707650997284
90,28.0,4,98.0,80.0,2164,15.0,72,1,dodge colt (sw),63.78020267961698
91,27.0,4,97.0,88.0,2100,16.5,72,3,toyota corolla 1600 (sw),65.7630960771659
92,13.0,8,350.0,175.0,4100,13.0,73,1,buick century 350,121.67508804575947
93,14.0,8,304.0,150.0,3672,11.5,73,1,amc matador,114.31601859034846
94,13.0,8,350.0,145.0,3988,13.0,73,1,chevrolet malibu,121.67508804575947
95,14.0,8,302.0,137.0,4042,14.5,73,1,ford gran torino,114.31601859034846
96,15.0,8,318.0,150.0,3777,12.5,73,1,dodge coronet custom,107.86551988847043
97,12.0,8,429.0,198.0,4952,11.5,73,1,mercury marquis brougham,130.15655456126038
98,13.0,8,400.0,150.0,4464,12.0,73,1,chevrolet caprice classic,121.67508804575947
99,13.0,8,351.0,158.0,4363,13.0,73,1,ford ltd,121.67508804575947
100,14.0,8,318.0,150.0,4237,14.5,73,1,plymouth fury gran sedan,114.31601859034846
101,13.0,8,440.0,215.0,4735,11.0,73,1,chrysler new yorker brougham,121.67508804575947
102,12.0,8,455.0,225.0,4951,11.0,73,1,buick electra 225 custom,130.15655456126038
103,13.0,8,360.0,175.0,3821,11.0,73,1,amc ambassador brougham,121.67508804575947
104,18.0,6,225.0,105.0,3121,16.5,73,1,plymouth valiant,92.51755510542347
105,16.0,6,250.0,100.0,3278,18.0,73,1,chevrolet nova custom,102.16137851664071
106,18.0,6,232.0,100.0,2945,16.0,73,1,amc hornet,92.51755510542347
107,18.0,6,250.0,88.0,3021,16.5,73,1,ford maverick,92.51755510542347
108,23.0,6,198.0,95.0,2904,16.0,73,1,plymouth duster,75.26707650997284
109,26.0,4,97.0,46.0,1950,21.0,73,2,volkswagen super beetle,67.88603970217332
110,11.0,8,400.0,150.0,4997,14.0,73,1,chevrolet impala,140.04842525445542
111,12.0,8,400.0,167.0,4906,12.5,73,1,ford country,130.15655456126038
112,13.0,8,360.0,170.0,4654,13.0,73,1,plymouth custom suburb,121.67508804575947
113,12.0,8,350.0,180.0,4499,12.5,73,1,oldsmobile vista cruiser,130.15655456126038
114,18.0,6,232.0,100.0,2789,15.0,73,1,amc gremlin,92.51755510542347
115,20.0,4,97.0,88.0,2279,19.0,73,3,toyota carina,84.66488870549858
116,21.0,4,140.0,72.0,2401,19.5,73,1,chevrolet vega,81.25782512464458
117,22.0,4,108.0,94.0,2379,16.5,73,3,datsun 610,78.13705426270423
118,18.0,3,70.0,90.0,2124,13.5,73,3,maxda rx3,92.51755510542347
119,19.0,4,122.0,85.0,2310,18.5,73,1,ford pinto,88.4008941149608
120,21.0,6,155.0,107.0,2472,14.0,73,1,mercury capri v6,81.25782512464458
121,26.0,4,98.0,90.0,2265,15.5,73,2,fiat 124 sport coupe,67.88603970217332
122,15.0,8,350.0,145.0,4082,13.0,73,1,chevrolet monte carlo s,107.86551988847043
123,16.0,8,400.0,230.0,4278,9.5,73,1,pontiac grand prix,102.16137851664071
124,29.0,4,68.0,49.0,1867,19.5,73,2,fiat 128,61.92359692404432
125,24.0,4,116.0,75.0,2158,15.5,73,2,opel manta,72.6180944050014
126,20.0,4,114.0,91.0,2582,14.0,73,2,audi 100ls,84.66488870549858
127,19.0,4,121.0,112.0,2868,15.5,73,2,volvo 144ea,88.4008941149608
128,15.0,8,318.0,150.0,3399,11.0,73,1,dodge dart custom,107.86551988847043
129,24.0,4,121.0,110.0,2660,14.0,73,2,saab 99le,72.6180944050014
130,20.0,6,156.0,122.0,2807,13.5,73,3,toyota mark ii,84.66488870549858
131,11.0,8,350.0,180.0,3664,11.0,73,1,oldsmobile omega,140.04842525445542
132,20.0,6,198.0,95.0,3102,16.5,74,1,plymouth duster,84.66488870549858
134,19.0,6,232.0,100.0,2901,16.0,74,1,amc hornet,88.4008941149608
135,15.0,6,250.0,100.0,3336,17.0,74,1,chevrolet nova,107.86551988847043
136,31.0,4,79.0,67.0,1950,19.0,74,3,datsun b210,58.54275749725402
137,26.0,4,122.0,80.0,2451,16.5,74,1,ford pinto,67.88603970217332
138,32.0,4,71.0,65.0,1836,21.0,74,3,toyota corolla 1200,56.99877854537647
139,25.0,4,140.0,75.0,2542,17.0,74,1,chevrolet vega,70.16490462045655
140,16.0,6,250.0,100.0,3781,17.0,74,1,chevrolet chevelle malibu classic,102.16137851664071
141,16.0,6,258.0,110.0,3632,18.0,74,1,amc matador,102.16137851664071
142,18.0,6,225.0,105.0,3613,16.5,74,1,plymouth satellite sebring,92.51755510542347
143,16.0,8,302.0,140.0,4141,14.0,74,1,ford gran torino,102.16137851664071
144,13.0,8,350.0,150.0,4699,14.5,74,1,buick century luxus (sw),121.67508804575947
145,14.0,8,318.0,150.0,4457,13.5,74,1,dodge coronet custom (sw),114.31601859034846
146,14.0,8,302.0,140.0,4638,16.0,74,1,ford gran torino (sw),114.31601859034846
147,14.0,8,304.0,150.0,4257,15.5,74,1,amc matador (sw),114.31601859034846
148,29.0,4,98.0,83.0,2219,16.5,74,2,audi fox,61.92359692404432
149,26.0,4,79.0,67.0,1963,15.5,74,2,volkswagen dasher,67.88603970217332
150,26.0,4,97.0,78.0,2300,14.5,74,2,opel manta,67.88603970217332
151,31.0,4,76.0,52.0,1649,16.5,74,3,toyota corona,58.54275749725402
152,32.0,4,83.0,61.0,2003,19.0,74,3,datsun 710,56.99877854537647
153,28.0,4,90.0,75.0,2125,14.5,74,1,dodge colt,63.78020267961698
154,24.0,4,90.0,75.0,2108,15.5,74,2,fiat 128,72.6180944050014
155,26.0,4,116.0,75.0,2246,14.0,74,2,fiat 124 tc,67.88603970217332
156,24.0,4,120.0,97.0,2489,15.0,74,3,honda civic,72.6180944050014
157,26.0,4,108.0,93.0,2391,15.5,74,3,subaru,67.88603970217332
158,31.0,4,79.0,67.0,2000,16.0,74,2,fiat x1.9,58.54275749725402
159,19.0,6,225.0,95.0,3264,16.0,75,1,plymouth valiant custom,88.4008941149608
160,18.0,6,250.0,105.0,3459,16.0,75,1,chevrolet nova,92.51755510542347
161,15.0,6,250.0,72.0,3432,21.0,75,1,mercury monarch,107.86551988847043
162,15.0,6,250.0,72.0,3158,19.5,75,1,ford maverick,107.86551988847043
163,16.0,8,400.0,170.0,4668,11.5,75,1,pontiac catalina,102.16137851664071
164,15.0,8,350.0,145.0,4440,14.0,75,1,chevrolet bel air,107.86551988847043
165,16.0,8,318.0,150.0,4498,14.5,75,1,plymouth grand fury,102.16137851664071
166,14.0,8,351.0,148.0,4657,13.5,75,1,ford ltd,114.31601859034846
167,17.0,6,231.0,110.0,3907,21.0,75,1,buick century,97.0782204576965
168,16.0,6,250.0,105.0,3897,18.5,75,1,chevroelt chevelle malibu,102.16137851664071
169,15.0,6,258.0,110.0,3730,19.0,75,1,amc matador,107.86551988847043
170,18.0,6,225.0,95.0,3785,19.0,75,1,plymouth fury,92.51755510542347
171,21.0,6,231.0,110.0,3039,15.0,75,1,buick skyhawk,81.25782512464458
172,20.0,8,262.0,110.0,3221,13.5,75,1,chevrolet monza 2+2,84.66488870549858
173,13.0,8,302.0,129.0,3169,12.0,75,1,ford mustang ii,121.67508804575947
174,29.0,4,97.0,75.0,2171,16.0,75,3,toyota corolla,61.92359692404432
175,23.0,4,140.0,83.0,2639,17.0,75,1,ford pinto,75.26707650997284
176,20.0,6,232.0,100.0,2914,16.0,75,1,amc gremlin,84.66488870549858
177,23.0,4,140.0,78.0,2592,18.5,75,1,pontiac astro,75.26707650997284
178,24.0,4,134.0,96.0,2702,13.5,75,3,toyota corona,72.6180944050014
179,25.0,4,90.0,71.0,2223,16.5,75,2,volkswagen dasher,70.16490462045655
180,24.0,4,119.0,97.0,2545,17.0,75,3,datsun 710,72.6180944050014
181,18.0,6,171.0,97.0,2984,14.5,75,1,ford pinto,92.51755510542347
